"FIPS","totpop","age","race","education","maritalstatus","employed","medhouseincome","rentpincome","householdsize","healthins","gini","household"
22017021700,1520,78.55,23.42,6.77,19.28,93.69,25259,2.9811156419494,2.35,75.75,0.3977,20.2
22017021800,1429,87.68,7.21,4.7,23.26,73.84,23239,2.7798098024872,2.97,81.82,0.4492,18.88
22017021900,1609,83.03,1.12,9.73,24.41,87.1,25698,2.56051054556775,2.85,73.34,0.4528,27.3
22017022000,1800,72.78,0.22,13.39,20.92,83.93,25268,2.59616906759538,2.38,81.57,0.4415,19.87
22017022100,6869,87.2,4.18,8.76,21.58,81.85,22338,2.97698988271108,2.79,79.44,0.5002,17.17
22017022200,5271,88.35,13.03,12.42,33.45,87.24,25972,2.82997073771754,2.45,80.14,0.4736,23.45
22017022300,2637,89,10.58,4.54,16.47,87.32,16340,4.40024479804162,2.54,66.55,0.4751,12.51
22017022400,3944,93.91,7.05,4.44,18.55,84.24,24449,3.19031453229171,3.24,73.73,0.4019,18.39
22017022500,4389,90.61,11.8,3.3,32.14,94.96,27689,2.60392213514392,2.66,72.43,0.4059,26.79
22017022600,3106,82.42,90.63,70.57,61.16,96,100404,1.30074499023943,2.41,94.66,0.5046,57.08
22017022700,2260,80.93,96.33,49.71,45.8,95.07,57773,1.70667959081232,2.24,92.12,0.4476,43.32
22017022800,4153,87.6,93.07,48.98,54.42,98.34,68373,1.50059233908122,2.35,91.4,0.4166,48.76
22017022900,5152,85.48,80.59,38.61,36.89,95.27,52806,1.53581032458433,1.99,85.94,0.3823,31.08
22017023000,4908,77.83,91.01,50.69,51.43,97.26,61220,1.46520744854623,2.22,92.49,0.4337,47.12
22017023100,1512,70.24,79.63,62.9,52.41,98.64,151481,0.551884394742575,2.53,97.95,0.527,58.89
22017023200,1585,90.54,19.18,5.35,14.07,86.54,26861,2.67302036409665,2.82,72.56,0.3798,13.5
22017023300,1829,89.45,1.69,3.21,20.81,88.29,20291,2.96190429254349,2.55,73.26,0.3935,18.85
22017023400,5947,92.4,10.69,11.42,27.04,86.48,34104,2.24313863476425,2.71,75.74,0.3789,26.07
22017023500,3731,80.94,0,7.33,23.31,78.29,19063,3.2523737082306,2.62,74.64,0.4747,20.82
22017023600,2802,80.69,1.61,23.13,22.03,89.24,26250,2.50666666666667,2.73,71.56,0.4747,23.22
22017023700,6604,92.13,5.22,6.69,22.1,83.16,26630,2.66992114156966,2.92,73.24,0.4156,24.4
22017023800,6640,79.35,36.17,28.06,34.68,88.7,41503,1.69385345637665,2.5,81.72,0.5436,35.53
22017023901,6356,81.06,67.4,32.61,39.45,93.8,44838,1.73290512511709,2.07,89.53,0.4389,32.31
22017023903,4280,82.64,81.54,24.76,46.17,92.14,53482,1.86978796604465,2.74,85.69,0.4543,51.22
22017023904,3353,82.22,74.71,43.79,48.06,94.56,52286,1.61037371380484,2.12,88.81,0.4871,38.26
